以下为国内各省份城市疫情汇总:

省份:湖北省	 今日确诊:6992	 总共确诊:67800	 疑似病例:0	 治愈病列:57678	 死亡病例:3130
省份:湖北省	 城市:武汉	 今日确诊:6744	 总共确诊:50005	 疑似病例:0	 治愈病列:40765	 死亡病例:2496
省份:湖北省	 城市:孝感	 今日确诊:69	 总共确诊:3518	 疑似病例:0	 治愈病列:3321	 死亡病例:128
省份:湖北省	 城市:鄂州	 今日确诊:38	 总共确诊:1394	 疑似病例:0	 治愈病列:1298	 死亡病例:58
省份:湖北省	 城市:随州	 今日确诊:36	 总共确诊:1307	 疑似病例:0	 治愈病列:1226	 死亡病例:45
省份:湖北省	 城市:荆州	 今日确诊:28	 总共确诊:1580	 疑似病例:0	 治愈病列:1502	 死亡病例:50
省份:湖北省	 城市:荆门	 今日确诊:18	 总共确诊:928	 疑似病例:0	 治愈病列:871	 死亡病例:39
省份:湖北省	 城市:仙桃	 今日确诊:15	 总共确诊:575	 疑似病例:0	 治愈病列:538	 死亡病例:22
省份:湖北省	 城市:黄石	 今日确诊:13	 总共确诊:1015	 疑似病例:0	 治愈病列:964	 死亡病例:38
省份:湖北省	 城市:宜昌	 今日确诊:13	 总共确诊:931	 疑似病例:0	 治愈病列:882	 死亡病例:36
省份:湖北省	 城市:十堰	 今日确诊:9	 总共确诊:672	 疑似病例:0	 治愈病列:655	 死亡病例:8
省份:湖北省	 城市:襄阳	 今日确诊:5	 总共确诊:1175	 疑似病例:0	 治愈病列:1131	 死亡病例:39
省份:湖北省	 城市:天门	 今日确诊:2	 总共确诊:496	 疑似病例:0	 治愈病列:479	 死亡病例:15
省份:湖北省	 城市:潜江	 今日确诊:2	 总共确诊:198	 疑似病例:0	 治愈病列:187	 死亡病例:9
省份:湖北省	 城市:黄冈	 今日确诊:0	 总共确诊:2907	 疑似病例:0	 治愈病列:2782	 死亡病例:125
省份:湖北省	 城市:咸宁	 今日确诊:0	 总共确诊:836	 疑似病例:0	 治愈病列:821	 死亡病例:15
省份:湖北省	 城市:恩施州	 今日确诊:0	 总共确诊:252	 疑似病例:0	 治愈病列:245	 死亡病例:7
省份:湖北省	 城市:神农架林区	 今日确诊:0	 总共确诊:11	 疑似病例:0	 治愈病列:11	 死亡病例:0


省份:香港	 今日确诊:93	 总共确诊:192	 疑似病例:0	 治愈病列:95	 死亡病例:4


省份:北京市	 今日确诊:92	 总共确诊:479	 疑似病例:0	 治愈病列:379	 死亡病例:8
省份:北京市	 城市:朝阳区	 今日确诊:72	 总共确诊:72	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:海淀区	 今日确诊:63	 总共确诊:63	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:境外输入人员	 今日确诊:58	 总共确诊:64	 疑似病例:0	 治愈病列:6	 死亡病例:0
省份:北京市	 城市:西城区	 今日确诊:53	 总共确诊:53	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:丰台区	 今日确诊:40	 总共确诊:43	 疑似病例:0	 治愈病列:3	 死亡病例:0
省份:北京市	 城市:大兴区	 今日确诊:23	 总共确诊:39	 疑似病例:0	 治愈病列:16	 死亡病例:0
省份:北京市	 城市:外地来京人员	 今日确诊:23	 总共确诊:25	 疑似病例:0	 治愈病列:2	 死亡病例:0
省份:北京市	 城市:昌平区	 今日确诊:19	 总共确诊:29	 疑似病例:0	 治愈病列:10	 死亡病例:0
省份:北京市	 城市:通州区	 今日确诊:18	 总共确诊:19	 疑似病例:0	 治愈病列:1	 死亡病例:0
省份:北京市	 城市:房山区	 今日确诊:13	 总共确诊:16	 疑似病例:0	 治愈病列:3	 死亡病例:0
省份:北京市	 城市:东城区	 今日确诊:13	 总共确诊:14	 疑似病例:0	 治愈病列:1	 死亡病例:0
省份:北京市	 城市:石景山区	 今日确诊:13	 总共确诊:14	 疑似病例:0	 治愈病列:1	 死亡病例:0
省份:北京市	 城市:顺义区	 今日确诊:10	 总共确诊:10	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:怀柔区	 今日确诊:7	 总共确诊:7	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:密云区	 今日确诊:7	 总共确诊:7	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:门头沟区	 今日确诊:1	 总共确诊:3	 疑似病例:0	 治愈病列:2	 死亡病例:0
省份:北京市	 城市:延庆区	 今日确诊:1	 总共确诊:1	 疑似病例:0	 治愈病列:0	 死亡病例:0
省份:北京市	 城市:待明确地区	 今日确诊:-342	 总共确诊:0	 疑似病例:0	 治愈病列:334	 死亡病例:8


省份:台湾	 今日确诊:77	 总共确诊:100	 疑似病例:0	 治愈病列:22	 死亡病例:1


省份:广东省	 今日确诊:52	 总共确诊:1378	 疑似病例:0	 治愈病列:1318	 死亡病例:8
省份:广东省	 城市:广州	 今日确诊:27	 总共确诊:359	 疑似病例:0	 治愈病列:331	 死亡病例:1
省份:广东省	 城市:深圳	 今日确诊:21	 总共确诊:427	 疑似病例:0	 治愈病列:403	 死亡病例:3
省份:广东省	 城市:佛山	 今日确诊:4	 总共确诊:85	 疑似病例:0	 治愈病列:81	 死亡病例:0
省份:广东省	 城市:中山	 今日确诊:4	 总共确诊:68	 疑似病例:0	 治愈病列:64	 死亡病例:0
省份:广东省	 城市:东莞	 今日确诊:1	 总共确诊:100	 疑似病例:0	 治愈病列:98	 死亡病例:1
省份:广东省	 城市:肇庆	 今日确诊:1	 总共确诊:20	 疑似病例:0	 治愈病列:18	 死亡病例:1
省份:广东省	 城市:梅州	 今日确诊:1	 总共确诊:17	 疑似病例:0	 治愈病列:16	 死亡病例:0
省份:广东省	 城市:珠海	 今日确诊:0	 总共确诊:98	 疑似病例:0	 治愈病列:97	 死亡病例:1
省份:广东省	 城市:惠州	 今日确诊:0	 总共确诊:62	 疑似病例:0	 治愈病列:62	 死亡病例:0
省份:广东省	 城市:汕头	 今日确诊:0	 总共确诊:25	 疑似病例:0	 治愈病列:25	 死亡病例:0
省份:广东省	 城市:江门	 今日确诊:0	 总共确诊:23	 疑似病例:0	 治愈病列:23	 死亡病例:0
省份:广东省	 城市:湛江	 今日确诊:0	 总共确诊:22	 疑似病例:0	 治愈病列:22	 死亡病例:0
省份:广东省	 城市:阳江	 今日确诊:0	 总共确诊:14	 疑似病例:0	 治愈病列:14	 死亡病例:0
省份:广东省	 城市:茂名	 今日确诊:0	 总共确诊:14	 疑似病例:0	 治愈病列:14	 死亡病例:0
省份:广东省	 城市:清远	 今日确诊:0	 总共确诊:12	 疑似病例:0	 治愈病列:12	 死亡病例:0
省份:广东省	 城市:韶关	 今日确诊:0	 总共确诊:10	 疑似病例:0	 治愈病列:9	 死亡病例:1
省份:广东省	 城市:揭阳	 今日确诊:0	 总共确诊:8	 疑似病例:0	 治愈病列:8	 死亡病例:0
省份:广东省	 城市:汕尾	 今日确诊:0	 总共确诊:5	 疑似病例:0	 治愈病列:5	 死亡病例:0
省份:广东省	 城市:潮州	 今日确诊:0	 总共确诊:5	 疑似病例:0	 治愈病列:5	 死亡病例:0
省份:广东省	 城市:河源	 今日确诊:0	 总共确诊:4	 疑似病例:0	 治愈病列:4	 死亡病例:0
省份:广东省	 城市:待明确地区	 今日确诊:-7	 总共确诊:0	 疑似病例:0	 治愈病列:7	 死亡病例:0


省份:甘肃省	 今日确诊:40	 总共确诊:133	 疑似病例:0	 治愈病列:91	 死亡病例:2
省份:甘肃省	 城市:境外输入人员	 今日确诊:40	 总共确诊:42	 疑似病例:0	 治愈病列:2	 死亡病例:0
省份:甘肃省	 城市:兰州	 今日确诊:0	 总共确诊:36	 疑似病例:0	 治愈病列:34	 死亡病例:2
省份:甘肃省	 城市:天水	 今日确诊:0	 总共确诊:12	 疑似病例:0	 治愈病列:12	 死亡病例:0
省份:甘肃省	 城市:平凉	 今日确诊:0	 总共确诊:9	 疑似病例:0	 治愈病列:9	 死亡病例:0
省份:甘肃省	 城市:定西	 今日确诊:0	 总共确诊:9	 疑似病例:0	 治愈病列:9	 死亡病例:0
省份:甘肃省	 城市:甘南	 今日确诊:0	 总共确诊:8	 疑似病例:0	 治愈病列:8	 死亡病例:0
省份:甘肃省	 城市:白银	 今日确诊:0	 总共确诊:4	 疑似病例:0	 治愈病列:4	 死亡病例:0
省份:甘肃省	 城市:陇南	 今日确诊:0	 总共确诊:4	 疑似病例:0	 治愈病列:4	 死亡病例:0
省份:甘肃省	 城市:庆阳	 今日确诊:0	 总共确诊:3	 疑似病例:0	 治愈病列:3	 死亡病例:0
省份:甘肃省	 城市:临夏	 今日确诊:0	 总共确诊:3	 疑似病例:0	 治愈病列:3	 死亡病例:0
省份:甘肃省	 城市:张掖	 今日确诊:0	 总共确诊:2	 疑似病例:0	 治愈病列:2	 死亡病例:0
省份:甘肃省	 城市:金昌	 今日确诊:0	 总共确诊:1	 疑似病例:0	 治愈病列:1	 死亡病例:0


省份:上海市	 今日确诊:34	 总共确诊:363	 疑似病例:0	 治愈病列:326	 死亡病例:3
省份:上海市	 城市:境外输入人员	 今日确诊:24	 总共确诊:25	 疑似病例:0	 治愈病列:1	 死亡病例:0
省份:上海市	 城市:外地来沪人员	 今日确诊:4	 总共确诊:111	 疑似病例:0	 治愈病列:106	 死亡病例:1
省份:上海市	 城市:宝山区	 今日确诊:2	 总共确诊:21	 疑似病例:0	 治愈病列:19	 死亡病例:0
