以下为世界疫情汇总:

所属大陆:欧洲 	国家名称:意大利 	今日感染:28710 	总共感染:35713 	疑似病例:0 	治愈病列:4025 	死亡病例:2978 	城市代码:ITA 	城市全称:Italy
所属大陆:欧洲 	国家名称:西班牙 	今日感染:12037 	总共感染:13716 	疑似病例:0 	治愈病列:1081 	死亡病例:598 	城市代码:ESP 	城市全称:Spain
所属大陆:欧洲 	国家名称:德国 	今日感染:11810 	总共感染:11973 	疑似病例:0 	治愈病列:135 	死亡病例:28 	城市代码:DEU 	城市全称:Germany
所属大陆:亚洲 	国家名称:伊朗 	今日感染:10516 	总共感染:17361 	疑似病例:0 	治愈病列:5710 	死亡病例:1135 	城市代码:IRN 	城市全称:Iran (Islamic Republic of)
所属大陆:北美洲 	国家名称:美国 	今日感染:8854 	总共感染:9077 	疑似病例:0 	治愈病列:74 	死亡病例:149 	城市代码:USA 	城市全称:United States of America
所属大陆:欧洲 	国家名称:法国 	今日感染:8268 	总共感染:9134 	疑似病例:0 	治愈病列:602 	死亡病例:264 	城市代码:FRA 	城市全称:France
所属大陆:亚洲 	国家名称:韩国 	今日感染:6941 	总共感染:8565 	疑似病例:0 	治愈病列:1540 	死亡病例:84 	城市代码:KOR 	城市全称:Republic of Korea
所属大陆:欧洲 	国家名称:瑞士 	今日感染:2748 	总共感染:2772 	疑似病例:0 	治愈病列:3 	死亡病例:21 	城市代码:CHE 	城市全称:Switzerland
所属大陆:欧洲 	国家名称:英国 	今日感染:2457 	总共感染:2626 	疑似病例:0 	治愈病列:65 	死亡病例:104 	城市代码:GBR 	城市全称:The United Kingdom
所属大陆:欧洲 	国家名称:荷兰 	今日感染:1993 	总共感染:2051 	疑似病例:0 	治愈病列:0 	死亡病例:58 	城市代码:NLD 	城市全称:Netherlands
所属大陆:欧洲 	国家名称:挪威 	今日感染:1556 	总共感染:1562 	疑似病例:0 	治愈病列:0 	死亡病例:6 	城市代码:NOR 	城市全称:Norway
所属大陆:欧洲 	国家名称:比利时 	今日感染:1471 	总共感染:1486 	疑似病例:0 	治愈病列:1 	死亡病例:14 	城市代码:BEL 	城市全称:Belgium
所属大陆:欧洲 	国家名称:奥地利 	今日感染:1323 	总共感染:1332 	疑似病例:0 	治愈病列:6 	死亡病例:3 	城市代码:AUT 	城市全称:Austria
所属大陆:欧洲 	国家名称:瑞典 	今日感染:1268 	总共感染:1279 	疑似病例:0 	治愈病列:1 	死亡病例:10 	城市代码:SWE 	城市全称:Sweden
所属大陆:欧洲 	国家名称:丹麦 	今日感染:1052 	总共感染:1057 	疑似病例:0 	治愈病列:1 	死亡病例:4 	城市代码:DNK 	城市全称:Denmark
所属大陆:亚洲 	国家名称:日本 	今日感染:733 	总共感染:921 	疑似病例:0 	治愈病列:157 	死亡病例:31 	城市代码:JPN 	城市全称:Japan
所属大陆:亚洲 	国家名称:马来西亚 	今日感染:728 	总共感染:790 	疑似病例:0 	治愈病列:60 	死亡病例:2 	城市代码:MYS 	城市全称:Malaysia
所属大陆:北美洲 	国家名称:加拿大 	今日感染:708 	总共感染:727 	疑似病例:0 	治愈病列:10 	死亡病例:9 	城市代码:CAN 	城市全称:Canada
所属大陆:大洋洲 	国家名称:澳大利亚 	今日感染:564 	总共感染:596 	疑似病例:0 	治愈病列:27 	死亡病例:5 	城市代码:AUS 	城市全称:Australia
所属大陆:欧洲 	国家名称:捷克 	今日感染:519 	总共感染:522 	疑似病例:0 	治愈病列:3 	死亡病例:0 	城市代码:CZE 	城市全称:Czechia
所属大陆:南美洲 	国家名称:巴西 	今日感染:510 	总共感染:514 	疑似病例:0 	治愈病列:0 	死亡病例:4 	城市代码:BRA 	城市全称:Brazil
所属大陆:亚洲 	国家名称:卡塔尔 	今日感染:452 	总共感染:452 	疑似病例:0 	治愈病列:0 	死亡病例:0 	城市代码:QAT 	城市全称:Qatar
所属大陆:欧洲 	国家名称:葡萄牙 	今日感染:444 	总共感染:448 	疑似病例:0 	治愈病列:3 	死亡病例:1 	城市代码:PRT 	城市全称:Portugal
所属大陆:亚洲 	国家名称:以色列 	今日感染:428 	总共感染:433 	疑似病例:0 	治愈病列:5 	死亡病例:0 	城市代码:ISR 	城市全称:Israel
所属大陆:欧洲 	国家名称:希腊 	今日感染:413 	总共感染:418 	疑似病例:0 	治愈病列:0 	死亡病例:5 	城市代码:GRC 	城市全称:Greece
所属大陆:欧洲 	国家名称:爱尔兰 	今日感染:364 	总共感染:366 	疑似病例:0 	治愈病列:0 	死亡病例:2 	城市代码:IRL 	城市全称:Ireland
所属大陆:欧洲 	国家名称:芬兰 	今日感染:358 	总共感染:359 	疑似病例:0 	治愈病列:1 	死亡病例:0 	城市代码:FIN 	城市全称:Finland
所属大陆:亚洲 	国家名称:巴基斯坦 	今日感染:288 	总共感染:289 	疑似病例:0 	治愈病列:1 	死亡病例:0 	城市代码:PAK 	城市全称:Pakistan
所属大陆:欧洲 	国家名称:斯洛文尼亚 	今日感染:274 	总共感染:275 	疑似病例:0 	治愈病列:0 	死亡病例:1 	城市代码:SVN 	城市全称:Slovenia
